Date/Time,Seed I/O 1 - Indoor RH 1 Z3 (%),Seed I/O 1 - Indoor Temp 1 Z3 (°F),Seed I/O 1 - GH #3 PAR (PAR),Seed I/O 1 - Unit Heater,Seed I/O 1 - HAF Fans,Seed I/O 1 - Shutters Open,Seed I/O 1 - Roof Vent,Greenhouse #3 - Zone Temperature (°F),Greenhouse #3 - Zone Relative Humidity (%),Greenhouse #3 - Heating Setpoint (°F),Greenhouse #3 - Cooling Setpoint (°F),Greenhouse #3 - Rel Humidity Setpoint (%),
4/11/2019 19:30,77.86,64.13,0.46,0,60,0,0,64.14,77.86,62.32,78,58.95,
4/11/2019 19:45,82.3,62.6,0,0,60,0,0,62.6,82.3,62,78,60,
4/11/2019 20:00,77.43,64.04,0,0,59,0,0,64.04,77.43,62,78,60,
4/11/2019 20:15,76.17,64.94,0,0,59,0,0,64.94,76.17,62,78,60,
4/11/2019 20:30,86.06,60.68,0,0,59,0,0,60.68,86.06,55.8,78,68.86,
4/11/2019 20:45,87.69,59.65,0,0,59,0,0,59.65,87.69,55,78,70,
4/11/2019 21:00,89.06,58.76,0,0,59,0,0,58.77,89.06,55,78,70,
4/11/2019 21:15,89.88,58.12,0,0,60,0,0,58.12,89.88,55,78,70,
4/11/2019 21:30,90.83,57.59,0,0,60,0,0,57.59,90.83,55,78,70,
4/11/2019 21:45,91.78,56.91,0,0,60,0,0,56.91,91.78,55,78,70,
4/11/2019 22:00,91.97,56.67,0,0,60,0,0,56.67,91.97,55,78,70,
4/11/2019 22:15,92.5,56.46,0,0,60,0,0,56.46,92.5,55,78,70,
4/11/2019 22:30,92.86,56.19,0,0,60,0,0,56.19,92.86,55,78,70,
4/11/2019 22:45,93.16,55.83,0,0,59,0,0,55.83,93.16,55,78,70,
4/11/2019 23:00,93.6,55.14,0,0,59,0,0,55.14,93.6,55,78,70,
4/11/2019 23:15,84.55,59.09,0,0,59,0,0,59.09,84.55,55,78,70,
4/11/2019 23:30,92.15,55.52,0,0,59,0,0,55.52,92.15,55,78,70,
4/11/2019 23:45,84.31,59.19,0,0,60,0,0,59.19,84.31,55,78,70,
4/12/2019 00:00,92.16,55.24,0,0,60,0,0,55.25,92.16,55,78,70,
4/12/2019 00:15,90.1,56.28,218.68,0,59,0,0,56.28,90.1,55,78,70,
4/12/2019 00:30,88.94,57.18,223.44,0,60,0,0,57.18,88.94,55,78,70,
4/12/2019 00:45,88.27,57.6,225.3,0,60,0,0,57.6,88.27,55,78,70,
4/12/2019 01:00,87.23,57.65,228.59,0,60,0,0,57.65,87.23,55,78,70,
4/12/2019 01:15,89.21,56.67,0,0,59,0,0,56.67,89.21,55,78,70,
4/12/2019 01:30,92.42,55.13,0,0,59,0,0,55.14,92.42,55,78,70,
4/12/2019 01:45,90,56.01,0,0,59,0,0,56.01,90,55,78,70,
4/12/2019 02:00,84.56,59.15,0,0,59,0,0,59.15,84.56,55,78,70,
4/12/2019 02:15,92.88,55.55,0,0,60,0,0,55.55,92.88,55,78,70,
4/12/2019 02:30,93.42,55.01,0,0,60,0,0,55.02,93.42,55,78,70,
4/12/2019 02:45,91.45,56,0,0,59,0,0,56,91.45,55,78,70,
4/12/2019 03:00,92.73,58.29,0,0,60,0,0,58.29,92.73,55,78,70,
4/12/2019 03:15,92.78,55.55,0,0,60,0,0,55.56,92.78,55,78,70,
4/12/2019 03:30,94.14,54.98,0,25,60,0,0,54.98,94.14,55,78,70,
4/12/2019 03:45,92.34,55.91,0,0,60,0,0,55.91,92.34,55,78,70,
4/12/2019 04:00,95.18,55.28,0,60,60,0,0,55.28,95.18,55,78,70,
4/12/2019 04:15,92.59,55.49,0,0,59,0,0,55.49,92.59,55,78,70,
4/12/2019 04:30,86.65,57.62,0,0,60,0,0,57.62,86.65,55,78,70,
4/12/2019 04:45,93.45,55.11,0,0,59,0,0,55.12,93.45,55,78,70,
4/12/2019 05:00,91.27,56.82,0,0,59,0,0,56.83,91.27,55,78,70,
4/12/2019 05:15,94.91,56.03,0,0,60,0,0,56.03,94.91,55,78,70,
4/12/2019 05:30,96.47,55.85,0,0,60,0,0,55.85,96.47,55,78,70,
4/12/2019 05:45,96.92,55.89,0,0,59,0,0,55.89,96.92,55,78,70,
4/12/2019 06:00,96.6,55.98,0.5,0,59,0,0,55.99,96.6,55,78,70,
4/12/2019 06:15,90.71,60.97,5.27,0,59,0,0,60.97,90.71,57.34,78,62.21,
4/12/2019 06:30,84.64,61.39,10.4,0,59,0,0,61.4,84.64,58,78,60,
4/12/2019 06:45,94,58.12,38.99,0,60,0,0,58.12,94,58,78,60,
